,entities,relations,sentences
0,"[[(u'Chinese', u'Material'), (u'Chinese language education', u'Material')], [(u'Tang Dynasty', u'Task'), (u'Chinese characters', u'Material')], [], [(u'poetry appreciation learning', u'Method'), (u'Immersive Poetry Learning', u'Method'), (u'multimedia properties', u'OtherScientificTerm'), (u'Vision', u'OtherScientificTerm'), (u'scenic spot', u'OtherScientificTerm'), (u'Reading with occasional poetry', u'Material'), (u'Emotional Reinforcement', u'OtherScientificTerm'), (u'background music', u'Material')], [(u'immersive poetry learning', u'Task'), (u'multimedia environment', u'OtherScientificTerm'), (u'Learning Context ontology', u'Method'), (u'Poetry Noun Ontology', u'Material'), (u'Music Emotion ontology', u'Method'), (u'context information poetry contents', u'Material')], [(u'Ontology-based Immersive Poetry Learning system', u'Method'), (u'learner contexts', u'OtherScientificTerm'), (u'coherent poetry', u'Material'), (u'ontology mapping', u'Method')]]","[[(u'Chinese', u'COMPARE', u'Chinese language education')], [], [(u'background story', u'CONJUNCTION', u'emotional feature of poetry')], [(u'scenic spot', u'HYPONYM-OF', u'multimedia properties'), (u'scenic spot', u'CONJUNCTION', u'Reading with occasional poetry'), (u'Reading with occasional poetry', u'HYPONYM-OF', u'multimedia properties'), (u'background music', u'HYPONYM-OF', u'multimedia properties'), (u'background music', u'CONJUNCTION', u'Emotional Reinforcement')], [(u'multimedia environment', u'FEATURE-OF', u'immersive poetry learning'), (u'Learning Context ontology', u'USED-FOR', u'immersive poetry learning'), (u'Learning Context ontology', u'CONJUNCTION', u'Learning Context ontology'), (u'Learning Context ontology', u'CONJUNCTION', u'Poetry Noun Ontology'), (u'Learning Context ontology', u'CONJUNCTION', u'Music Emotion ontology'), (u'Poetry Noun Ontology', u'USED-FOR', u'immersive poetry learning'), (u'Poetry Noun Ontology', u'CONJUNCTION', u'Music Emotion ontology'), (u'Music Emotion ontology', u'USED-FOR', u'immersive poetry learning'), (u'context information poetry contents', u'CONJUNCTION', u'music emotional properties')], [(u'Ontology-based Immersive Poetry Learning system', u'USED-FOR', u'coherent poetry'), (u'coherent poetry', u'CONJUNCTION', u'music'), (u'ontology mapping', u'USED-FOR', u'music')]]","[u'Chinese has a rise in popularity due to the spring up of the Chinese language education .', u'In the poetry of the Tang Dynasty , there is a lot of information in the limited number of Chinese characters .', u'Therefore , how to assist learners in understanding of the background story and emotional feature of poetry is a challenging issue .', u'In this paper , to support the poetry appreciation learning , our idea is to provide the Immersive Poetry Learning with multimedia properties : the Vision such as scenic spot , the Reading with occasional poetry , and the Emotional Reinforcement such as background music .', u'To construct the immersive poetry learning with multimedia environment , the Learning Context ontology , the Poetry Noun Ontology and the Music Emotion ontology are defined to annotate the context information poetry contents and music emotional properties .', u'Thus , the Ontology-based Immersive Poetry Learning system can base on the learner contexts to generate the coherent poetry and music by the ontology mapping .']"
1,"[[(u'information retrieval field', u'OtherScientificTerm'), (u'ontology', u'OtherScientificTerm')], [(u'It', u'Generic')], [(u'ontology algorithm', u'Method')], [(u'learning technology', u'Method'), (u'ontology', u'Task'), (u'structure', u'Generic'), (u'it', u'Generic')], [(u'sparse vector learning algorithm', u'Method'), (u'ontology similarity measure', u'Task'), (u'ontology mapping', u'Task'), (u'gradient descent', u'Task'), (u'iterative computation', u'Task')], [(u'ontology penalty term', u'OtherScientificTerm'), (u'optimization model', u'Method'), (u'dual norm', u'OtherScientificTerm'), (u'smooth approximation', u'Method'), (u'penalty term', u'OtherScientificTerm')], [(u'algorithm', u'Generic'), (u'iterative computation', u'Method'), (u'gradient descent tricks', u'Method')], []]","[[], [], [], [(u'learning technology', u'USED-FOR', u'ontology')], [(u'sparse vector learning algorithm', u'USED-FOR', u'ontology similarity measure'), (u'sparse vector learning algorithm', u'USED-FOR', u'ontology mapping'), (u'ontology similarity measure', u'CONJUNCTION', u'ontology mapping'), (u'ontology similarity measure', u'CONJUNCTION', u'iterative computation'), (u'gradient descent', u'CONJUNCTION', u'ontology mapping'), (u'gradient descent', u'CONJUNCTION', u'iterative computation')], [(u'dual norm', u'USED-FOR', u'optimization model'), (u'smooth approximation', u'USED-FOR', u'penalty term')], [(u'iterative computation', u'USED-FOR', u'algorithm'), (u'gradient descent tricks', u'USED-FOR', u'algorithm'), (u'gradient descent tricks', u'USED-FOR', u'iterative computation')], []]","[u'AbstractIn the information retrieval field , ontology plays a crucial role in searching for information that is highly semantic similar to the query concept in origin .', u'It also plays a major roles in returning the results to the user .', u'The main purpose of ontology algorithm lies in obtaining the function for calculating the similarity between concepts .', u'One learning technology in applying ontology is to obtain a ontology function f : V AE R In this structure , it maps each vertex to a real number and the similarity between two concepts is then determined by the difference of their real numbers .', u'In this article , we report a sparse vector learning algorithm for ontology similarity measure and ontology mapping in terms of gradient descent and iterative computation .', u'The ontology penalty term in optimization model is reformulated by virtue of dual norm , and then the smooth approximation to this penalty term is obtained .', u'The main procedure of our algorithm is iterative computation based on gradient descent tricks .', u'Resu ...']"
2,"[[(u'ontology-based data integration system', u'Method')], [(u'semantic privacy-preserving model', u'Method'), (u'authorized view-based query answering', u'Task'), (u'data sharing', u'Task')], [(u'semantics-enabled privacy protection policies', u'Method'), (u'virtual platform', u'OtherScientificTerm')], [(u'merging algorithm', u'Method'), (u'local-as-view ( LAV ) source description', u'Method'), (u'global ontology schema', u'OtherScientificTerm'), (u'local ontology schemas', u'Method'), (u'data sharing', u'Task')], [(u'datalog rules', u'OtherScientificTerm')], [(u'Semantics-enable policies', u'Method'), (u'VP', u'Method')], [(u'protection criteria', u'Metric'), (u'policy combination', u'Task')], [(u'data sharing', u'Task'), (u'protection services', u'Task')]]","[[], [(u'semantic privacy-preserving model', u'USED-FOR', u'authorized view-based query answering'), (u'semantic privacy-preserving model', u'USED-FOR', u'data sharing'), (u'authorized view-based query answering', u'USED-FOR', u'data sharing')], [], [(u'local-as-view ( LAV ) source description', u'CONJUNCTION', u'merging algorithm'), (u'local ontology schemas', u'USED-FOR', u'data sharing')], [], [], [(u'data sharing', u'CONJUNCTION', u'protection criteria'), (u'protection criteria', u'USED-FOR', u'policy combination')], [(u'data sharing', u'CONJUNCTION', u'protection services')]]","[u'In this paper , we encompass and extend previous ontology-based data integration system .', u'A semantic privacy-preserving model provides authorized view-based query answering over a widespread multiple servers for data sharing and integration .', u'The combined semantics-enabled privacy protection policies are used to empower the data integration and access control services at the virtual platform ( VP ) .', u'The ontology mapping and merging algorithm with a local-as-view ( LAV ) source description that creates a global ontology schema at the VP by integrating multiple local ontology schemas for data sharing .', u'The perfect rules integration of datalog rules enforces the data query and protection services .', u'Semantics-enable policies are combined together at the VP , but the access control criteria specified in each server are still satisfied .', u'Therefore the soundness and completeness of data sharing and protection criteria are ensured to support the validity of policy combination .', u'This guarantees the trustworthiness of data sharing and protection services in multiple servers .']"
3,"[[(u'approach', u'Generic'), (u'Web courseware', u'Task'), (u'layered ontological paradigm', u'Method')], [(u'ontology-based layers', u'OtherScientificTerm'), (u'courseware authoring architecture', u'Method'), (u'generic authoring tasks', u'Task')], [(u'approach', u'Generic'), (u'knowledge classification and indexing mechanism', u'Method'), (u'system', u'Generic'), (u'AIMS', u'Method'), (u'learning tasks', u'Task'), (u'Web-based learning/training environment', u'Task')], [(u'vertical layers', u'OtherScientificTerm'), (u'system architecture', u'Method'), (u'Author assisting layer and Operational layer', u'Task'), (u'ontological layers', u'OtherScientificTerm'), (u'Course ontology', u'Method'), (u'Domain ontology', u'OtherScientificTerm'), (u'educational metadata layer', u'OtherScientificTerm')], [(u'domain ontology creation process', u'Method')], [(u'method', u'Generic'), (u'concept-based domain authoring', u'Task'), (u'ontological support', u'OtherScientificTerm')]]","[[(u'approach', u'USED-FOR', u'Web courseware'), (u'layered ontological paradigm', u'USED-FOR', u'approach')], [(u'ontology-based layers', u'PART-OF', u'courseware authoring architecture')], [(u'system', u'USED-FOR', u'learning tasks')], [(u'vertical layers', u'PART-OF', u'system architecture'), (u'Course ontology', u'CONJUNCTION', u'Domain ontology')], [], [(u'generic tasks', u'USED-FOR', u'concept-based domain authoring'), (u'concept-based domain authoring', u'CONJUNCTION', u'ontological support')]]","[u'This paper presents an approach to authoring support for Web courseware based on a layered ontological paradigm .', u'The ontology-based layers in the courseware authoring architecture serve as a basis for formal semantics and reasoning support in performing generic authoring tasks .', u'This approach represents an extension of our knowledge classification and indexing mechanism from a previously developed system , AIMS , aimed at supporting students while completing learning tasks in a Web-based learning/training environment .', u'We propose the addition of two vertical layers in the system architecture , Author assisting layer and Operational layer , with the role of facilitating the creation of the ontological layers ( Course ontology and Domain ontology ) and of the educational metadata layer .', u'Here we focus on the domain ontology creation process , together with the support that the additional layers can provide within this process .', u'We exemplify our method by presenting a set of generic tasks related to concept-based domain authoring and their ontological support .']"
4,"[[(u'consolidacion y desarrollo del capital de marca', u'Method')], [(u'Para lograr este proposito', u'Method')], [], [(u'Palabras clave', u'OtherScientificTerm'), (u'Web Semantica', u'Material'), (u'Marca', u'Material'), (u'Consumidor-marca', u'Material'), (u'Mercadeo relacional', u'Material')], [(u'Semantic Web', u'Material'), (u'Consumer-Brand Relationship', u'Task')], [(u'Consumer-Brand', u'Material')], [(u'value creation', u'Task'), (u'segmentation processes', u'Method'), (u'web', u'Material')], [(u'Semantic Web', u'Material')], [(u'raggiungere questo proposito', u'OtherScientificTerm')], [], [], [(u'Parole chiave', u'Material'), (u'Web Semantica', u'Material'), (u'Marketing relazionale', u'OtherScientificTerm')]]","[[(u'consolidacion y desarrollo del capital de marca', u'CONJUNCTION', u'especialmente en el entorno de internet')], [], [], [(u'Web Semantica', u'CONJUNCTION', u'Consumidor-marca'), (u'Consumidor-marca', u'CONJUNCTION', u'Mercadeo relacional')], [(u'Semantic Web', u'CONJUNCTION', u'Consumer-Brand Relationship')], [], [], [], [], [], [], [(u'Web Semantica', u'HYPONYM-OF', u'Parole chiave'), (u'Web Semantica', u'CONJUNCTION', u'Consumatore Marca'), (u'Consumatore Marca', u'HYPONYM-OF', u'Parole chiave'), (u'Consumatore Marca', u'CONJUNCTION', u'Marketing relazionale')]]","[u'El presente articulo tuvo como objetivo explorar las formas de vinculacion entre la Web Semantica y las relaciones consumidor-marca como base para la construccion , consolidacion y desarrollo del capital de marca , especialmente en el entorno de internet .', u'Para lograr este proposito , se planteo un cuerpo teorico basado en la revision documental de las caracteristicas que definen la Web Semantica y el paradigma relacional , como puente para plantear retos para el desarrollo de bases solidas de la relacion consumidor-marca en internet .', u'Reconociendo la naturaleza interdependiente de la creacion de valor por parte de los clientes que son entendidos como codesarrolladores de sus propias experiencias con la marca ; se vislumbran dos futuras tendencias de las relaciones consumidor-marca en internet : por un lado , la naturaleza en si misma de la relacion , ya que en el mundo virtual la identidad del consumidor es fragmentada y cambiante , lo que amerita una redefinicion de los procesos de segmentacion actualmente empleados ; y por el otro , el proceso mismo de dicha relacion , debido a que el consumidor percibe las relaciones basadas en la web como un medio para llegar a un fin y no un fin en si misma como hasta ahora se habia observado ; siendo dichos fines motivaciones individuales dentro del entorno colaborativo de internet .', u'Palabras clave : Web Semantica , Marca , Consumidor-marca , Mercadeo relacional .', u'THE SEMANTIC WEB : A NEW CONTEXT FOR CONSUMER-BRAND RELATIONSHIP ABSTRACT This study aims to explore ways of linking the Semantic Web and Consumer-Brand Relationship as a basis for the construction , consolidation and development of Brand Equity .', u'To achieve this purpose , we raised a body of theory based on documentary review of the defining characteristics of the Semantic Web and Relational Paradigm as a bridge to pose challenges for developing a solid foundation of Consumer-Brand on the Internet .', u""Recognizing the interdependent nature of value creation by customers are understood as co-developers of their own experiences with the brand ; two future trends are emerging in consumer-brand relationships online : On the one hand , nature the relationship itself , as in the virtual world `` identity '' of the consumer is fragmented and changing , which drives a redefinition of the current segmentation processes ; and on the other hand , the process of this relationship , because the consumer perceives relationships based on the web as a means to an end not an end in itself as so far been observed ."", u'Key Word : Semantic Web , Brand , Consumer-Brand , Relational marketing LA WEB SEMANTICA : UN NUOVO CONTESTO PER LE RELAZIONI CONSUMATORE-MARCA RIASSUNTO La finalita di questo articolo e stata di esplorare le forme di vincolazione tra la Web Semantica e le Relazioni Consumatore Marca come base per la costruzione , consolidazione e sviluppo del Capitale di Marca , specialmente negli ambienti di Internet .', u'Per raggiungere questo proposito , si e enunciato un corpo teorico basato nella revisione documentale delle caratteristiche che definiscono la Web Semantica e il Paradigma Relazionale come ponte per stabilire sfide per lo sviluppo di basi solide sulla relazione Consumatore Marca in Internet ; allo stesso modo si riconosce la natura interdipendente della creazione del valore da parte dei clienti che sono riconosciuti come co-sviluppatori delle loro proprie esperienze con la marca .', u'Si intravedono due future tendenze nelle relazioni Consumatore Marca in Internet ; da una parte , la natura in se stessa della relazione , dato che nel mondo virtuale , lidentita del consumatore viene frammentata ed e cambiante .', u'Cio merita una redefinizione dei processi di segmentazione usati attualmente ; e , daltro canto , il processo stesso della suddetta relazione perche il consumatore percepisce le relazioni basate sulla web come un mezzo per raggiungere un fine e non un fine in se stesso come finora si era osservato considerando che queste fini sono motivazioni individuali dentro lambiente collaborativo di Internet .', u'Parole chiave : Web Semantica , Marca , Consumatore Marca , Marketing relazionale .']"
5,"[[(u'semantic service', u'Task'), (u""user 's purpose"", u'OtherScientificTerm'), (u'personalized retrieval framework', u'Method'), (u'weighted concept network', u'Method'), (u'conceptual graph', u'OtherScientificTerm'), (u'semantic relationship', u'OtherScientificTerm'), (u'similarity algorithm', u'Method'), (u'conceptual graph', u'OtherScientificTerm'), (u'WCN', u'Method'), (u'precision', u'Metric')]]","[[(u'personalized retrieval framework', u'USED-FOR', u'semantic service'), (u'personalized retrieval framework', u'USED-FOR', u'weighted concept network'), (u'personalized retrieval framework', u'USED-FOR', u'semantic relationship'), (u'weighted concept network', u'USED-FOR', u'semantic service'), (u'similarity algorithm', u'USED-FOR', u'semantic relationship')]]","[u""For the semantic service driven by user 's purpose , a personalized retrieval framework to its user is proposed.The weighted concept network ( WCN ) is adopted to represent the user profile.To express the actual requirements of users , conceptual graph is introduced to define the semantic relationship between concepts in query formally.The similarity algorithm between conceptual graph and WCN is proposed , too.The order of results is set twice before it is responded to users.The result set is more personalized.The experiment shows that the precision of the feedback has been improved efficiently .""]"
6,"[[(u'ready-made software components', u'Method'), (u'systems', u'Generic')], [(u'software producers', u'Method'), (u'heterogeneous service environment', u'Method')], [(u'inconsistent service interfaces', u'OtherScientificTerm')], [(u'ontology-based approach', u'Method'), (u'semantic service annotation', u'Task')]]","[[], [], [], [(u'ontology-based approach', u'USED-FOR', u'semantic service annotation')]]","[u'To develop a market for low-cost Smart Homes reuse of ready-made software components is an essential requirement to reduce the development costs of such systems .', u'Users will run services from a variety of different software producers , which will lead to a heterogeneous service environment .', u'Therefore one of the major challenges is to guarantee interoperability among inconsistent service interfaces .', u'In this paper we present an ontology-based approach to semantic service annotation , which we use for service matching and dynamic generation of service adapters .']"
7,"[[(u'hierarchical semantic service case', u'Task'), (u'behavior restraints', u'OtherScientificTerm'), (u'similarity degree measurement', u'Method'), (u'method', u'Generic'), (u'interaction ontology', u'Method'), (u'Web service composition.The method', u'Method'), (u'Web service composition', u'Method')]]",[[]],"[u'In this paper , a hierarchical semantic service case is outlined , which supports overall description of functionality , behavior restraints and features.An adaptable similarity degree measurement is proposed to retrieve a service case which is more similar to the target case and easier to be revised if necessary.Moreover , a method based on the interaction ontology is presented to realize dynamically revising service case to support Web service composition.The method of Web service composition proposed in this paper is proved to be feasible and effective by examinations .']"
8,"[[(u'Semantic service matchmaking', u'Method'), (u'web service discovery', u'Task')], [(u'OWL-s', u'Method'), (u'web services', u'Method'), (u'reasoning techniques', u'Method'), (u'matchmaking', u'Task'), (u'annotations', u'Generic')], [(u'open-world semantics', u'OtherScientificTerm'), (u'OWL-s', u'Method'), (u'local closed-world reasoning', u'Method'), (u'matchmaking process', u'Method'), (u'accuracy', u'Metric')], [(u'matchmaking algorithm', u'Method'), (u'OWA', u'Method'), (u'CWA', u'Method')]]","[[(u'Semantic service matchmaking', u'USED-FOR', u'web service discovery')], [(u'OWL-s', u'USED-FOR', u'matchmaking'), (u'reasoning techniques', u'USED-FOR', u'matchmaking'), (u'reasoning techniques', u'USED-FOR', u'annotations')], [], [(u'OWA', u'HYPONYM-OF', u'matchmaking algorithm'), (u'OWA', u'CONJUNCTION', u'CWA'), (u'CWA', u'HYPONYM-OF', u'matchmaking algorithm')]]","[u'Semantic service matchmaking plays an important role in web service discovery .', u'OWL-s provides rich annotations of web services and reasoning techniques to perform matchmaking on such annotations .', u'Due to open-world semantics of OWL-s , local closed-world reasoning can be introduced to the matchmaking process to improve the accuracy .', u'In this paper , we propose a matchmaking algorithm which combines both OWA and CWA and at the same time is able to handle inconsistent cases in the matching process , thus provide much flexibility .']"
9,"[[(u'structures', u'OtherScientificTerm')], [], [(u'design', u'Generic')], [(u'model', u'Generic'), (u'MySQL', u'Method')], [(u'model', u'Generic'), (u'lexicographic database', u'Material'), (u'MySQL', u'Method')], [(u'ISO model', u'Method'), (u""Spohr 's model"", u'Method'), (u'lemma', u'OtherScientificTerm'), (u'centreof attention', u'OtherScientificTerm'), (u'lemma', u'OtherScientificTerm'), (u'thesense description', u'OtherScientificTerm')], [(u'lexicographic data sets', u'Material')], [(u'monolingual Northern Sotho dictionary', u'Material'), (u'bilingual ZuluEnglish dictionary', u'Material'), (u'accessingthem', u'OtherScientificTerm')], [(u'model', u'Generic'), (u'graphical user interfaces', u'OtherScientificTerm')], [(u'Keywords', u'OtherScientificTerm'), (u'African languages dictionaries', u'Material'), (u'lexicographic model', u'Method'), (u'macrostructure', u'OtherScientificTerm'), (u'microstructure', u'OtherScientificTerm'), (u'access structure', u'OtherScientificTerm'), (u'MySQL', u'Method')], [], [(u'beginsel hierargies', u'OtherScientificTerm')], [], [(u'MySQL', u'OtherScientificTerm')], [(u'Die model', u'Method')], [(u'die bewerking nie', u'OtherScientificTerm')], [], [(u'Aangesien dit ons doel', u'OtherScientificTerm')], [(u'Die plan', u'OtherScientificTerm')], [(u'Sleutelwoorde', u'OtherScientificTerm'), (u'Afrikataalwoordeboeke', u'OtherScientificTerm'), (u'leksikografiese model', u'Method'), (u'makrostruktuur', u'OtherScientificTerm'), (u'mikrostruktuur', u'OtherScientificTerm'), (u'multifunksionele leksikale bron', u'OtherScientificTerm'), (u'MySQL', u'Method'), (u'toegangstruktuur', u'Material')]]","[[], [], [], [(u'entities', u'USED-FOR', u'model')], [], [], [], [(u'monolingual Northern Sotho dictionary', u'CONJUNCTION', u'bilingual ZuluEnglish dictionary')], [], [(u'African languages dictionaries', u'CONJUNCTION', u'lexicographic model'), (u'lexicographic model', u'HYPONYM-OF', u'Keywords'), (u'lexicographic model', u'CONJUNCTION', u'macrostructure'), (u'lexicographic model', u'CONJUNCTION', u'microstructure'), (u'lexicographic model', u'CONJUNCTION', u'access structure'), (u'macrostructure', u'HYPONYM-OF', u'Keywords'), (u'macrostructure', u'CONJUNCTION', u'microstructure'), (u'macrostructure', u'CONJUNCTION', u'access structure'), (u'microstructure', u'HYPONYM-OF', u'Keywords'), (u'microstructure', u'CONJUNCTION', u'access structure'), (u'microstructure', u'CONJUNCTION', u'MySQL'), (u'access structure', u'CONJUNCTION', u'access structure'), (u'access structure', u'CONJUNCTION', u'MySQL')], [], [], [], [], [], [], [], [], [], [(u'leksikografiese model', u'CONJUNCTION', u'makrostruktuur'), (u'leksikografiese model', u'CONJUNCTION', u'mikrostruktuur'), (u'leksikografiese model', u'CONJUNCTION', u'multifunksionele leksikale bron'), (u'makrostruktuur', u'CONJUNCTION', u'mikrostruktuur'), (u'makrostruktuur', u'CONJUNCTION', u'multifunksionele leksikale bron'), (u'makrostruktuur', u'CONJUNCTION', u'MySQL'), (u'mikrostruktuur', u'CONJUNCTION', u'multifunksionele leksikale bron'), (u'mikrostruktuur', u'CONJUNCTION', u'MySQL'), (u'mikrostruktuur', u'CONJUNCTION', u'toegangstruktuur'), (u'multifunksionele leksikale bron', u'CONJUNCTION', u'multifunksionele leksikale bron'), (u'multifunksionele leksikale bron', u'CONJUNCTION', u'MySQL'), (u'multifunksionele leksikale bron', u'CONJUNCTION', u'toegangstruktuur'), (u'MySQL', u'CONJUNCTION', u'multifunksionele leksikale bron'), (u'MySQL', u'CONJUNCTION', u'toegangstruktuur')]]","[u'So far , there have been few descriptions on creating structures capable of storing lexicographicdata , ISO 24613:2008 being one of the latest .', u'Another one is by Spohr ( 2012 ) , who designsa multifunctional lexical resource which is able to store data of different types of dictionaries in auser-oriented way .', u'Technically , his design is based on the principle of a hierarchical XML/OWL ( eXtensible Markup Language/Web Ontology Language ) representation model .', u'This article followsanother route in describing a model based on entities and relations between them ; MySQL ( usually referred to as : Structured Query Language ) describes a database system of tables containingdata and definitions of relations between them .', u""The model was developed in the context of theproject `` Scientific eLexicography for Africa '' and the lexicographic database to be built thereof willbe implemented with MySQL ."", u""The principles of the ISO model and of Spohr 's model are adhered towith one major difference in the implementation strategy : we do not place the lemma in the centreof attention , but the sense description all other elements , including the lemma , depend on thesense description ."", u'This article also describes the contained lexicographic data sets and how theyhave been collected from different sources .', u""As our aim is to compile several prototypical internetdictionaries ( a monolingual Northern Sotho dictionary , a bilingual learners ' XhosaEnglish dictionaryand a bilingual ZuluEnglish dictionary ) , we describe the necessary microstructural elementsfor each of them and which principles we adhere to when designing different ways of accessingthem ."", u'We plan to make the model and the ( empty ) database with all graphical user interfaces thathave been developed , freely available by mid-2015 .', u""Keywords : African languages dictionaries , lexicographic model , macrostructure , microstructure , access structure , ISO24613:2008 , MySQL , multifunctional lexical resource 'n Algemene leksikografiese model vir 'n tipologiese verskeidenheid woordeboeke in Afrikatale Tot dusver bestaan daar min beskrywings oor hoe om strukture te skep wat daartoe in staat is om leksikografiese data te berg ."", u'ISO 24613 2008 is een van die mees onlangse sodanige beskrywings .', u""Nog een , naamlik die van Spohr ( 2012 ) wat fokus op die ontwerp van 'n gebruikersgerigte multifunksionele leksikale bron , gebruik die voorstellingsmodel XML/OWL ( eXtensible Markup Language/Web Ontology Language ) wat in beginsel hierargies is ."", u""In hierdie artikel word 'n ander roete gevolg om 'n model te beskryf wat gebaseer is op entiteite en hul onderlinge verhoudinge ."", u""MySQL ( gewoonlik na verwys as Structured Query Language ) beskryf 'n databasisstelsel van tabelle wat data bevat en definisies van hulle onderlinge verhoudinge ."", u""Die model is ontwikkel binne die konteks van die projek `` Scientific e-Lexicography for Africa '' en die databasis wat saamgestel word , sal met behulp van MySQL toegepas word ."", u'Die beginsels van die ISO-model asook die van Spohr word gehandhaaf maar wel met een groot uitsondering in die implementeringstrategie : die lemma is naamlik nie sentraal in die bewerking nie , maar wel die beskrywing van betekenisonderskeidings alle ander elemente , met insluiting van die lemma , is afhanklik van die beskrywing van die betekenisonderskeidings .', u'Hierdie artikel bespreek ook die leksikografiese datastelle wat aangebied word en hoe hulle uit verskillende bronne versamel is .', u""Aangesien dit ons doel is om verskillende prototipiese internetwoordeboeke saam te stel ( 'n eentalige Noord-Sotho woordeboek , 'n tweetalige aanleerderswoordeboek Xhosa Engels en 'n tweetalige woordeboek ZoeloeEngels ) bespreek ons die noodsaaklike mikrostrukturele elemente vir elkeen van hierdie woordeboeke en watter beginsels gevolg word om verskillende maniere te ontwikkel om toegang tot hierdie woordeboeke te verkry ."", u'Die plan is om die model en die ( lee ) databasis met al die grafiese koppelvlakke wat ontwikkel is teen die middel van 2015 gratis beskikbaar te stel .', u'Sleutelwoorde : Afrikataalwoordeboeke , ISO24613:2008 , leksikografiese model , makrostruktuur , mikrostruktuur , multifunksionele leksikale bron , MySQL , toegangstruktuur']"
